evidence_id,source_key,source_record_id,source_status,source_url,property_key,geo_id,address,property_name,organization,equipment_type,evidence_confidence,signal_type,tower_lifecycle_event,tower_lifecycle_event_context,permit_project_key,description_fingerprint,event_date,event_age_days,recent_activity_365d,priority,description
tdsb:1924:cooling_tower:0,tdsb_facility_condition_renewal,1924,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/1924,tdsb-schno:1924,,"650 Cosburn Ave, East York, ON, M4C 2V2",East York Collegiate Institute,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Cooling Tower Renewal | High
tdsb:2001:chemical_feed:0,tdsb_facility_condition_renewal,2001,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2001,tdsb-schno:2001,,"544 Horner Ave, Etobicoke, ON, M8W 2C2",Sir Adam Beck Junior School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Auxiliary Equipment - Chemical Feed Systems Renewal | High
tdsb:2001:chiller:1,tdsb_facility_condition_renewal,2001,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2001,tdsb-schno:2001,,"544 Horner Ave, Etobicoke, ON, M8W 2C2",Sir Adam Beck Junior School,Toronto District School Board,chiller,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,MEDIUM,| Chilled Water Systems - Chiller Renewal | Medium
tdsb:2001:cooling_tower:2,tdsb_facility_condition_renewal,2001,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2001,tdsb-schno:2001,,"544 Horner Ave, Etobicoke, ON, M8W 2C2",Sir Adam Beck Junior School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,MEDIUM,| Chilled Water Systems - Cooling Tower Renewal | Medium
tdsb:2021:chemical_feed:0,tdsb_facility_condition_renewal,2021,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2021,tdsb-schno:2021,,"44 Cordova Ave, Etobicoke, ON, M9A 2H5",Islington Junior Middle School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Auxiliary Equipment - Chemical Feed System Renewal | High
tdsb:2021:chiller:1,tdsb_facility_condition_renewal,2021,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2021,tdsb-schno:2021,,"44 Cordova Ave, Etobicoke, ON, M9A 2H5",Islington Junior Middle School,Toronto District School Board,chiller,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,MEDIUM,| Chilled Water Systems - Centrifugal Chiller Renewal | Medium
tdsb:2021:cooling_tower:2,tdsb_facility_condition_renewal,2021,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2021,tdsb-schno:2021,,"44 Cordova Ave, Etobicoke, ON, M9A 2H5",Islington Junior Middle School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,MEDIUM,| Chilled Water Systems - Cooling Tower Renewal | Medium
tdsb:2040:chemical_feed:0,tdsb_facility_condition_renewal,2040,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2040,tdsb-schno:2040,,"1 York Rd, Etobicoke, ON, M9R 3C8",Kingsview Village Junior School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Auxiliary Equipment - Chemical Feed Systems Renewal | High
tdsb:2040:chiller:1,tdsb_facility_condition_renewal,2040,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2040,tdsb-schno:2040,,"1 York Rd, Etobicoke, ON, M9R 3C8",Kingsview Village Junior School,Toronto District School Board,chiller,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Chiller #1 (M9) - 1994 Building Renewal | High
tdsb:2040:cooling_tower:2,tdsb_facility_condition_renewal,2040,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2040,tdsb-schno:2040,,"1 York Rd, Etobicoke, ON, M9R 3C8",Kingsview Village Junior School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Cooling Tower Renewal | High
tdsb:2063:chemical_feed:0,tdsb_facility_condition_renewal,2063,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2063,tdsb-schno:2063,,"85 Mount Olive Dr, Etobicoke, ON, M9V 2C9",Highfield Junior School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Auxiliary Equipment - Chemical Feed Systems Renewal | High
tdsb:2063:cooling_tower:1,tdsb_facility_condition_renewal,2063,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2063,tdsb-schno:2063,,"85 Mount Olive Dr, Etobicoke, ON, M9V 2C9",Highfield Junior School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Cooling Towers Renewal | High
tdsb:3127:chiller:0,tdsb_facility_condition_renewal,3127,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3127,tdsb-schno:3127,,"25 Forest Manor Rd, North York, ON, M2J 1M4",Forest Manor Public School,Toronto District School Board,chiller,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Centrifugal Chiller Renewal | High
tdsb:3127:cooling_tower:1,tdsb_facility_condition_renewal,3127,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3127,tdsb-schno:3127,,"25 Forest Manor Rd, North York, ON, M2J 1M4",Forest Manor Public School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Cooling Tower Renewal | High
tdsb:3180:cooling_tower:0,tdsb_facility_condition_renewal,3180,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3180,tdsb-schno:3180,,"4505 Jane St, North York, ON, M3N 2K7",Brookview Middle School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,HIGH,| D303012 Chilled Water Systems - Cooling Towers Renewal | High
tdsb:3430:chemical_feed:0,tdsb_facility_condition_renewal,3430,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3430,tdsb-schno:3430,,"100 Princess Ave, North York, ON, M2N 3R7",Earl Haig Secondary School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Auxiliary Equipment - Chemical Feed Systems (3) Renewal | High
