source_id,source_field,cache_array,cache_field,conversion,code_line,rows_checked,mismatches
erm2-nwe9,created_date,water_311_requests,created_date,parse_source_date,218,190233,0
erm2-nwe9,closed_date,water_311_requests,closed_date,parse_source_date,219,190233,0
erm2-nwe9,agency,water_311_requests,agency,normalize_space,220,190233,0
erm2-nwe9,agency_name,water_311_requests,agency_name,normalize_space,221,190233,0
erm2-nwe9,complaint_type,water_311_requests,complaint_type,normalize_space,222,190233,0
erm2-nwe9,descriptor,water_311_requests,descriptor,normalize_space,223,190233,0
erm2-nwe9,descriptor_2,water_311_requests,descriptor_2,normalize_space,224,190233,0
erm2-nwe9,status,water_311_requests,status,normalize_space,226,190233,0
erm2-nwe9,resolution_description,water_311_requests,resolution_description,normalize_space,227,190233,0
erm2-nwe9,street_name,water_311_requests,street_name,normalize_space,230,190233,0
erm2-nwe9,borough,water_311_requests,borough,normalize_space,231,190233,0
erm2-nwe9,incident_zip,water_311_requests,zip,normalize_space,232,190233,0
wvxf-dwi5,buildingid,hpd_open_water_violations,building_id,normalize_space,258,184528,0
wvxf-dwi5,registrationid,hpd_open_water_violations,registration_id,normalize_space,259,184528,0
wvxf-dwi5,boro,hpd_open_water_violations,borough,normalize_space,263,184528,0
wvxf-dwi5,zip,hpd_open_water_violations,zip,normalize_space,264,184528,0
wvxf-dwi5,class,hpd_open_water_violations,class,normalize_space,265,184528,0
wvxf-dwi5,inspectiondate,hpd_open_water_violations,inspection_date,parse_source_date,266,184528,0
wvxf-dwi5,novdescription,hpd_open_water_violations,nov_description,normalize_space,267,184528,0
wvxf-dwi5,currentstatus,hpd_open_water_violations,current_status,normalize_space,268,184528,0
wvxf-dwi5,currentstatusdate,hpd_open_water_violations,current_status_date,parse_source_date,269,184528,0
wvxf-dwi5,violationstatus,hpd_open_water_violations,violation_status,normalize_space,270,184528,0
wvxf-dwi5,rentimpairing,hpd_open_water_violations,rent_impairing,normalize_space,271,184528,0
w9ak-ipjd,job_filing_number,dob_water_job_filings,source_record_id,normalize_space,353,75019,0
w9ak-ipjd,filing_status,dob_water_job_filings,filing_status,normalize_space,355,75019,0
w9ak-ipjd,filing_date,dob_water_job_filings,filing_date,parse_source_date,356,75019,0
w9ak-ipjd,approved_date,dob_water_job_filings,approved_date,parse_source_date,357,75019,0
w9ak-ipjd,signoff_date,dob_water_job_filings,signoff_date,parse_source_date,358,75019,0
w9ak-ipjd,borough,dob_water_job_filings,borough,normalize_space,362,75019,0
w9ak-ipjd,plumbing_work_type,dob_water_job_filings,plumbing_work_type,normalize_space,363,75019,0
w9ak-ipjd,mechanical_systems_work_type_,dob_water_job_filings,mechanical_work_type,normalize_space,364,75019,0
w9ak-ipjd,boiler_equipment_work_type_,dob_water_job_filings,boiler_work_type,normalize_space,365,75019,0
w9ak-ipjd,job_description,dob_water_job_filings,job_description,normalize_space,366,75019,0
